Part Name,Part Library Name,Description,Vendor,Shape Code,Physical Class,Functional Class,L,W,T,Supply Type,Supply Kind,Tape Kind,Tape Width,Tape Pitch,Reel Size,Part Count,Supply Direction,Creation Date,Modification Date,Pickup Error Setting,Recog Error Stop,Polarity,Nozzle,Vacuum Sensor Pickup Check,Vacuum Sensor Mount Check,Pickup Gap,Mount Gap,Brightness Check,Dispense Option,Inspection Data,Pickup Offset Z,Eject Height,Offset Check for Dense Mounting,Tolerance: Part Size,Tolerance: Lead Width,Tolerance: Lead Pitch,Tolerance: Lead Coplanarity,Tolerance: Ball Diameter,Tolerance: Ball Pitch,Tolerance: Ball Coplanarity,L,W,Teach,Pickup Speed,Mount Speed,Pickup hold time,Mount hold time,Camera,Lighting,Recognition Speed,Recog Height,Scan Count,Recognize by Mount Angle,Automatic Height Measure(cushion end sensor),Auto Height Measure(Height Sensor),Height Measure Gap,3D Mount Gap,Pickup Offset X,Pickup Offset Y,Pickup Angle,Gang Pickup,Pickup Position Learning,Pickup Shift Tolerance,Pickup before Inspection,Mount Load (MP Head),Mount Motion (Down),Mount Motion (Up),2 Step Motion Height Offset (Down),Discard to,Thickness Measure,Thickness Upper Limit,Thickness Lower Limit,Thickness Measure Timing,Shadow Lamp Offset,Direct Lamp Offset,BGA Lamp Offset,PIP Lamp Offset,Advance Feeding,Pickup Position Auto Teach,Feeder Drive Speed,Action After Splice Detection,Advance Feed Count,Lift Speed,Pull Axis Speed,Try Position Recognition,Transfer,Transfer Load,Transfer Height,Sqeegee Gap,Transfer Time,Transfer Speed,Transfer Mode,Parts Empty Count,Pickup Error Count,Automatic Height Measure at splicing,Pickup Position Auto Teach (splicing),Rotation Check,Center Position Check,Surrounding Check,Brightness Check Count,Recog error count,Wait before Mount,Pickup Motion (Down),Pickup Motion (Up),MSD Level,NPI,Label,LCR,Mount Load (HS Head),Barcode,Dispense Option (SP)
STFRC12B,RD_SMT1,3030 - RED Seoul Semi ( 730nm-150mA- 2V),Demo Vendor 1,,Odd Shaped Component,LED,3,3,0.7,E0804_L,Tape and Reel,Embossed,8,4,Large (330mm),1,0,6/27/2021 10:58,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"240,0,0,0,0",No,Yes,0.5,0.3,,Off,Off,0,0,Off,, , ,, , ,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,No,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.14,-0.14,First pickup,0,-50,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
SPMWH1410CD5WA(K)V0S0 - rank 2,RD_SMT1,"Model: 401B+, Kitting Bin, 3000K, S3, CRI 80, 150mA-3V",Demo Vendor 2,,Odd Shaped Component,Fixed Resistor,4.13,1.59,0.5,E1204_L,Tape and Reel,Embossed,12,4,Large (330mm),16000,0,6/27/2021 10:58,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,0,0,0,0",No,Yes,0.3,0.4,,Off,Off,0,0,Off,, , ,, , ,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,-0.039,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.1,-0.1,First pickup,0,-80,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
SPMWH1410CD5WA(K)V0S0 - rank 1,RD_SMT1,"Model: 401B+, Kitting Bin, 3000K, S3, CRI 80, 150mA-3V",Demo Vendor 3,,Odd Shaped Component,Fixed Resistor,4.13,1.59,0.5,E1204_L,Tape and Reel,Embossed,12,4,Large (330mm),16000,0,6/27/2021 10:58,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,0,0,0,0",No,Yes,0.3,0.4,,Off,Off,0,0,Off,, , ,, , ,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,-0.039,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.1,-0.1,First pickup,0,-80,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
SPMWH1410CD5WA(K)V0S0,RD_SMT1,"Model: 401B+, Kitting Bin, 3000K, S3, CRI 80, 150mA-3V",Demo Vendor 4,,Odd Shaped Component,Fixed Resistor,4.13,1.59,0.5,E1204_L,Tape and Reel,Embossed,12,4,Large (330mm),16000,0,6/27/2021 10:58,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,0,0,0,0",No,Yes,0.3,0.4,,Off,Off,0,0,Off,, , ,, , ,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,-0.039,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.1,-0.1,First pickup,0,-80,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
CJA1117-3.3V-1A-SOT89,RD_SMT1,,Demo Vendor 5,,Leaded Component,DPAK,4.25,4.5,1.6,E1208_S,Tape and Reel,Embossed,12,8,Small (180mm),1000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"240,0,0,0,0",No,Yes,0.3,0.3,,Off,Off,0,0,Off,, , ,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,Yes,No,0,0,0,0,0,Allow,No,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.32,-0.32,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
C0805X105K025TX,RD_SMT1,1uF/25V/10%/X7R/0805,Demo Vendor 6,,Rectangular Chip,Capacitor,2,1.25,1.25,E0804_S,Tape and Reel,Embossed,8,4,Small (180mm),5000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,No,"235,1001,0,0,0",Yes,Yes,0.3,0.3,,Off,Off,0,0,Off,,,,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,No,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.2,-0.2,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
C0603X682K4REC7411,RD_SMT1,,Demo Vendor 7,,Rectangular Chip,Fixed Resistor,1.6,0.8,0.6,E0804_L,Tape and Reel,Embossed,8,4,Large (330mm),5000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,No,"230,0,0,0,0",Yes,Yes,0,0,,Off,Off,0,0,Off,,,,,,,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0,0,First pickup,0,0,0,0,No,Yes,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
BP2525F - SOP33-5L,RD_SMT1,,Demo Vendor 8,,Leaded Component,SOT/Transistor,4.1,4,1.2,E1208_S,Tape and Reel,Embossed,12,8,Small (180mm),3000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"240,0,0,0,0",Yes,No,0.3,0.3,,Off,Off,0,0,Off,, , ,,,,,,,Done,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.22,-0.22,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
BP1371 -SOT89-5,RD_SMT1,,Demo Vendor 9,,Odd Shaped Component,SOP,4.4,4.1,1.4,E1208_L,Tape and Reel,Embossed,12,8,Large (330mm),3000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"235,240,0,0,0",Yes,Yes,0,0,,Off,Off,0,0,Off,, , ,, , ,,,,Not Yet,100,100,Standard,Standard,2D Camera,Direct Lighting,Auto,0,Auto,No,No,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.28,-0.28,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
EMA2GM2R2FB0LM5T,RD_SMT1,,Demo Vendor 10,,Odd Shaped Component,Aluminum Electrolytic Capacitor,7.24,7.83,11.85,E2416_L,Tape and Reel,Embossed,24,16,Large (330mm),3000,0,6/27/2021 10:59,9/30/2021 8:48,Parts Empty Stop,Set count,Yes,"185,0,0,0,0",Yes,Yes,0.3,0.1,,Off,Off,0,0,Off,, , ,, , ,,,,Done,60,100,2X,Standard,2D/3DAuto select,Direct Lighting,Auto,0,Auto,No,Yes,No,0,0,0,0,0,Allow,Yes,0,Yes,2.5,1 step,1 step,0,Dust Box,No,0.56,-0.56,First pickup,0,0,0,0,No,No,Standard(Fast),Advance Feed,0,,,,No,2.5,0,0,150,100,Transfer -> Recognition,Use machine setting,Stop Immediately,No,No,,,No,0,3,0,1 step,1 step,0,,,No,Standard,No,Off
